Identifier A,Identifier B,Interaction
Q9BYF1,P0DTC2,1
P0DTC2,Q9BYF1,1
P68400,P67870,1
Q8NFJ9,Q3SYG4,1
Q3SYG4,Q8NFJ9,1
Q9BXC9,Q8IWZ6,1
Q8IWZ6,Q9BXC9,1
Q8NFJ9,Q96RK4,1
Q9BXC9,Q3SYG4,1
Q96RK4,Q8NFJ9,1
Q3SYG4,Q9BXC9,1
Q8NFJ9,Q8IWZ6,1
Q96RK4,Q15154,1
Q8IWZ6,Q8NFJ9,1
Q15154,Q96RK4,1
Q8NFJ9,Q8N3I7,1
Q8N3I7,Q8NFJ9,1
Q96RK4,Q8IWZ6,1
Q8IWZ6,Q96RK4,1
Q8NFJ9,Q9BXC9,1
Q9BXC9,Q8NFJ9,1
Q9BXC9,Q96RK4,1
Q96RK4,Q9BXC9,1
Q96RK4,Q8N3I7,1
Q8N3I7,Q96RK4,1
Q8NFJ9,Q8TAM2,1
Q8IWZ6,Q3SYG4,1
Q3SYG4,Q8IWZ6,1
Q8TAM2,Q8NFJ9,1
Q3SYG4,Q8N3I7,1
Q3SYG4,Q9NQ48,1
Q9NQ48,Q3SYG4,1
Q9NQ48,Q9NQ48,1
Q9BXC9,Q8N3I7,1
Q96RK4,Q3SYG4,1
Q8N3I7,Q9BXC9,1
Q6ZW61,Q9NPJ1,1
Q9NPJ1,Q6ZW61,1
A8MTZ0,Q96RK4,1
Q96RK4,A8MTZ0,1
Q3V3N7,Q9CWF6,1
Q9CWF6,Q3V3N7,1
Q96RK4,Q8TAM2,1
Q8N3I7,Q8IWZ6,1
Q9NQ48,Q9BXC9,1
Q9NQ48,Q8IWZ6,1
Q8TAM2,Q96RK4,1
Q6ZW61,Q8IWZ6,1
Q8IWZ6,Q6ZW61,1
P61006,Q96QF0,1
Q96QF0,P48553,1
P48553,Q96QF0,1
Q3V3N7,Q8C1Z7,1
Q3V3N7,Q8K2G4,1
P0DTC2,P11021,1
Q96QF0,Q9Y296,1
Q8NCK7,Q6PCB8,1
Q8TAM2,Q8IWZ6,1
Q9BYF1,P11021,1
Q96QF0,Q96Q05,1
Q96Q05,Q96QF0,1
Q9CWF6,Q8K2G4,1
Q96QF0,O43617,1
Q08850,P63045,1
P63045,Q08850,1
P27986,Q9Y4H2,1
Q3V3N7,Q8VD72,1
Q9CWF6,Q8VD72,1
P0DJI6,Q9R1E0,1
Q9R1E0,P0DJI6,1
Q96QF0,O75865,1
Q8IWZ6,Q9NPJ1,1
Q9NPJ1,Q8IWZ6,1
Q9H0F7,Q8NFJ9,1
Q8NFJ9,Q9H0F7,1
Q9BXC9,Q8TAM2,1
Q96QF0,Q8N9M5,1
Q96QF0,Q9Y5R8,1
Q96QF0,Q9UL33,1
Q8TAM2,Q9BXC9,1
Q08850,Q60770,1
O09044,P63044,1
Q9CWF6,Q8C1Z7,1
O95273,P55042,1
P78371,Q8IWZ6,1
P55042,O95273,1
Q9Y4H2,Q96EB6,1
Q60700,Q60700,1
P37238,Q923E4,1
O09044,Q08850,1
Q08850,O09044,1
P05026,O76024,1
O76024,P05026,1
Q8NFJ9,Q15154,1
Q9CWF6,Q96RK4,1
Q96RK4,Q9CWF6,1
Q9NPJ1,Q8TAM1,1
Q9NPJ1,Q9BXC9,1
Q96QF0,P0DI81,1
Q14643,P31749,1
P37238,Q96EB6,1
Q96EB6,P37238,1
Q3V3N7,Q9CZQ9,1
Q3V3N7,Q811G0,1
Q9CWF6,Q811G0,1
Q3SYG4,Q8TAM2,1
Q9NPJ1,P78371,1
Q9NPJ1,P17987,1
P06213,P60709,1
P06213,Q9P035,1
Q8NCK7,P46379,1
Q80U30,Q8BH75,1
P20393,P06727,1
Q8BH75,Q80U30,1
O76024,P16615,1
Q00535,P37231,1
O35567,P15127,1
P15127,O35567,1
Q8NCK7,P35613,1
O09044,P70452,1
Q9H0F7,Q9BXC9,1
Q9H0F7,Q96RK4,1
Q8NFJ9,P48356,1
Q96RK4,Q3V3N7,1
Q96RK4,Q8K2G4,1
P48356,Q8NFJ9,1
P68400,Q14449,1
Q9R1E0,Q09472,1
P62491,Q96QF0,1
Q96QF0,P62491,1
Q8NFJ9,Q96QF0,1
Q9CWF6,Q9JHQ5,1
Q8N3I7,P56726,1
P0DJI6,Q9WVH4,1
Q9WVH4,P0DJI6,1
Q14449,P06213,1
P35568,Q96EB6,1
F1MWF1,O41515,1
O14901,G3H0F0,1
Q60700,Q08209,1
Q60700,P63098,1
P27986,Q96EB6,1
A2A935,P37238,1
Q96QF0,Q8NFJ9,1
Q96EB6,Q9R1E0,1
Q9NTG7,O43524,1
P56726,Q8NFJ9,1
P56726,Q96RK4,1
P56726,Q8IWZ6,1
O09044,P63045,1
P38646,P21796,1
Q14643,P38646,1
Q14643,P21796,1
Q3UJU9,P15208,1
P21796,P38646,1
P21796,Q14643,1
O75376,P37231,1
Q63503,P02651,1
O88848,Q3V3N7,1
O88848,Q9CWF6,1
O88848,Q8C1Z7,1
O88848,Q9CZQ9,1
Q9H0F7,Q8IWZ6,1
O88848,Q8K2G4,1
Q9H0F7,Q3SYG4,1
O88848,Q811G0,1
O88848,Q02248,1
O88848,P62492,1
O88848,P55258,1
Q9H0F7,Q8TAM2,1
O88848,Q8VD72,1
A8MTZ0,Q8NFJ9,1
A8MTZ0,Q9BXC9,1
A8MTZ0,Q8IWZ6,1
A8MTZ0,Q15154,1
Q9BXC9,Q8C1Z7,1
Q9BXC9,Q9CZQ9,1
Q9CWF6,Q9CZQ9,1
Q9BXC9,Q8K2G4,1
Q9CWF6,Q02248,1
Q9CWF6,P62492,1
Q9CWF6,P55258,1
Q96RK4,Q9CZQ9,1
Q96RK4,Q811G0,1
Q96RK4,Q9JHQ5,1
Q96RK4,Q96QF0,1
Q96RK4,Q8VD72,1
P78371,Q9BXC9,1
Q02248,P62492,1
Q02248,P55258,1
P06213,P31939,1
